"term_en","entry_en","term_el","entry_el","quote","citation"
"Hybrid_arts","Hybrid arts is a contemporary art movement in which artists work with frontier areas of science and emerging technologies. Artists work with fields such as biology, robotics, physical sciences, experimental interface technologies (such as speech, gesture, face recognition), artificial intelligence, and information visualization. They address the research in many ways such as undertaking new research agendas, visualizing results in new ways, or critiquing the social implications of the research. The worldwide community has developed new kinds of art festivals, information sources, organizations, and university programs to explore these new arts.","Υβριδική_τέχνη","Η Υβριδική τέχνη είναι ένα κίνημα στις σύγχρονες τέχνες μέσα στο οποίο οι καλλιτέχνες δουλεύουν στο όριο της επιστήμης και των αναδυόμενων τεχνολογιών. Οι καλλιτέχνες εργάζονται σε πεδία όπως η βιολογία, η ρομποτική, οι φυσικές επιστήμες, οι πειραματικές διεπαφές, η τεχνητή νοημοσύνη και η οπτικοποίηση δεδομένων. Η σχετική έρευνα αφορά πρωτοεμφανιζόμενα ερευνητικά αντικείμενα, την οπτικοποίηση δεδομένων με νέους τρόπους και την κριτική θεώρηση των κοινωνικών προεκτάσεων της έρευνας. Πολλά νέα πανεπιστημιακά προγράμματα, οργανισμοί, και καλλιτεχνικά φεστιβάλ έχουν αναπτυχθεί από την παγκόσμια κοινότητα, για την εξερεύνηση των νέων τεχνών.","Contemporary Painting has transmogrified into a species of centaur-half art materials, half words.","Harold Rosenberg"
"Computer_art","Computer art is any art in which computers play a role in production or display of the artwork. Such art can be an image, sound, animation, video, CD-ROM, DVD-ROM, videogame, web site, algorithm, performance or gallery installation. Many traditional disciplines are now integrating digital technologies and, as a result, the lines between traditional works of art and new media works created using computers has been blurred. For instance, an artist may combine traditional painting with algorithm art and other digital techniques. As a result, defining computer art by its end product can thus be difficult. Computer art is by its nature evolutionary since changes in technology and software directly affect what is possible.","Τέχνη_των_Υπολογιστών","Η Τέχνη με Υπολογιστή, ή Τέχνη των Υπολογιστών (Computer art) είναι κάθε μορφή τέχνης στην οποία οι υπολογιστές συμμετέχουν στην παραγωγή ή την προβολή του έργου. Τέτοια έργα περιλαμβάνουν εικόνες, ήχους, κινούμενη εικόνα εν γένει, βιντεοπαιχνίδια, ιστοτόπους, αλγορίθμους, περφόρμανς ή εγκαταστάσεις. Πολλοί «παραδοσιακοί» κλάδοι ενσωματώνουν πλέον ψηφιακές τεχνολογίες και ως επακόλουθο, να μην είναι διακριτή η διαχωριστική γραμμή μεταξύ παραδοσιακών έργων τέχνης και έργων που έχουν παραχθεί με υπολογιστές. Ένας καλλιτέχνης μπορεί για παράδειγμα, να συνδυάζει την ζωγραφική με την αλγοριθμική τέχνη και άλλες ψηφιακές τεχνικές. Αυτό έχει ως αποτέλεσμα την δυσκολία να οριστεί η Τέχνη των Υπολογιστών αποκλειστικά από το παραγόμενο αποτέλεσμα. Από τη φύση της, η τελευταία εξελίσσεται διαρκώς καθώς οι δυνατότητες έκφρασης επηρεάζονται άμεσα από τις τεχνολογικές εξελίξεις.","Computers are not the thing. They are the thing that gets you to the thing.","Joe MacMilan, Halt and Catch Fire"
"New_media_art","New media art is a genre that encompasses artworks created with new media technologies, including digital art, computer graphics, computer animation, virtual art, Internet art, interactive art, video games, computer robotics, 3D printing, cyborg art and art as biotechnology. The term differentiates itself by its resulting cultural objects and social events, which can be seen in opposition to those deriving from old visual arts (i.e. traditional painting, sculpture, etc.). This concern with medium is a key feature of much contemporary art and indeed many art schools and major universities now offer majors in “New Genres” or “New Media” and a growing number of graduate programs have emerged internationally. New Media Art often involves interaction between artist and observer or between observers and the artwork, which responds to them. Yet, as several theorists and curators have noted, such forms of interaction, social exchange, participation, and transformation do not distinguish new media art but rather serve as a common ground that has parallels in other strands of contemporary art practice. Such insights emphasize the forms of cultural practice that arise concurrently with emerging technological platforms, and question the focus on technological media, per se. New Media concerns are often derived from the telecommunications, mass media and digital electronic modes of delivering the artworks involve, with practices ranging from conceptual to virtual art, performance to installation.","τέχνη_των_Νέων_Μέσων","Η τέχνη των Νέων Μέσων, αφορά έργα που έχουν παραχθεί με νέες τεχνολογίες, και ως ευρύτερη κατηγορία περιλαμβάνει την ψηφιακή τέχνη, την υπολογιστική γραφική, την εικονική τέχνη, την Διαδικτυακή τέχνη, την διαδραστική τέχνη, τα βιντεοπαιχνίδια, την ρομποτική, την τρισδιάστατη εκτύπωση, την σάιμποργκ τέχνη, την τέχνη ως βιοτεχνολογία κ.α. Ως όρος είναι διακριτός από τα παραγόμενα πολιτιστικά αντικείμενα και τις σχετικές κοινωνικές εκδηλώσεις, σε αντίθεση με την σχέση έρχου-τέχνης σε παραδοσιακές μορφές όπως η ζωγραφική, γλυπτική κ.α. Το ενδιαφέρον πάνω στο ίδιο το μέσο είναι καίριο στην σύγχρονη τέχνη, και πράγματι πολλές σχολές τεχνών και πανεπιστήμια περιλαμβάνουν τα Νέα Μέσα στο πρόγραμμα σπουδών τους. Η τέχνη των Νέων Μέσων συχνά ενσωματώνει την διάδραση μεταξύ καλλιτέχνη και θεατή ή μεταξύ των θεατών και του ίδιου του έργου τέχνης. Ωστόσο, όπως πολλοί θεωρητικοί και επιμελητές αναφέρουν, αυτή η διάδραση, η κοινωνική συνδιαλλαγή και η συμμετοχή δεν στοιχεία που διακρίνουν τα Νέα Μέσα αλλά βρίσκουν αντιστοιχίες και σε άλλες μορφές της σύγχρονης καλλιτεχνικής πρακτικής.","A new media object is not something fixed once and for all, but something that can exist in different, potentially infinite versions","Lev Manovich, Language of New Media"
"Relational_art","Relational art or relational aesthetics is a mode or tendency in fine art practice originally observed and highlighted by French art critic Nicolas Bourriaud. Bourriaud defined the approach as “a set of artistic practices which take as their theoretical and practical point of departure the whole of human relations and their social context, rather than an independent and private space.” The artist can be more accurately viewed as the “catalyst” in relational art, rather than being at the centre.","Σχεσιακή_τέχνη","Η σχεσιακή τέχνη (βλ. σχεσιακή αισθητική) είναι μια τάση στην πρακτική των καλών τεχνών που πρώτος παρατήρησε και υπογράμμισε ο Γάλλος κριτικός τέχνης Νικολά Μπουριό. Ο Μπουριό όρισε την προσέγγισή αυτή ως «ένα σύνολο καλλιτεχνικών πρακτικών που λαμβάνουν ως θεωρητική και πρακτική αφετηρία το σύνολο των ανθρωπίνων σχέσεων και το κοινωνικό τους συγκείμενο, αντί σαν κάτι που συμβαίνει σε ένα ανεξάρτητο και ιδιωτικό χώρο». Στην σχεσιακή τέχνη, ο καλλιτέχνης μπορεί να χαρακτηριστεί πιο συγκεκριμένα ως «καταλύτης», αντί να βρίσκεται στο επίκεντρο.","Art keeps together moments of subjectivity associated with singular experiences","Nicolas Bourriaud, Relational Aesthetics"
"Participatory_art","Participatory art is an approach to making art in which the audience is engaged directly in the creative process, allowing them to become co-authors, editors, and observers of the work. Therefore,this type of art is incomplete without the viewers physical interaction. Its intent is to challenge the dominant form of making art in the West, in which a small class of professional artists make the art while the public takes on the role of passive observer or consumer, i.e., buying the work of the professionals in the marketplace.","Συμμετοχική_τέχνη","Η συμμετοχική τέχνη είναι μια προσέγγιση για την παραγωγή έργων στα οποία το κοινό εμπλέκεται άμεσα με τις καλλιτεχνικές διεργασίες, επιτρέποντας την ανάδειξή τους ως συνδημιουργών και παρατηρητών ταυτόχρονα. Επομένως, έργα τέτοιου είδους είναι ατελή χωρίς την φυσική διάδραση με το κοινό. Έχει την πρόθεση να προκαλέσει την κυρίαρχη φόρμα στην καλλιτεχνική παραγωγή στην Δύση, όπου μια μικρή κλάση επαγγελματιών καλλιτεχνών παράγουν τέχνη ενώ το κοινό αναλαμβάνει τον ρόλο του παθητικού παρατηρητή ή καταναλωτή.","Art is a collective work, its material is abstract labor","Toni Negri, Letter to Manfredo on Collective Work"
"Hybrid_(biology)","In biology a hybrid, also known as cross breed, is the result of mixing, through sexual reproduction, two animals or plants of different breeds, varieties, species or genera. Using genetic terminology, it may be defined as follows. 1. Hybrid generally refers to any offspring resulting from the breeding of two genetically distinct individuals, which usually will result in a high degree of heterozygosity, though hybrid and heterozygous are not, strictly speaking, synonymous. 2. a genetic hybrid carries two different alleles of the same gene. 3. a structural hybrid results from the fusion of gametes that have differing structure in at least one chromosome, as a result of structural abnormalities. 4. a numerical hybrid results from the fusion of gametes having different haploid numbers of chromosomes. 5. a permanent hybrid is a situation where only the heterozygous genotype occurs, because all homozygous combinations are lethal.","Υβρίδιο","Υβρίδιο είναι το αποτέλεσμα της διασταύρωσης δύο γενετικά ανόμοιων ατόμων, τα οποία όμως εκφράζουν κάποιο κοινό χαρακτηριστικό με διαφορετικό τρόπο. Πιο συγκεκριμένα αφορά την ανάμιξη μέσω γεννητικής αναπαραγωγής, δύο ζώων ή φυτών από διαφορετικές ράτσες, ποικιλίες, είδη ή γένη.","We have never been Modern","Bruno Latour"
"Postinternet","Postinternet denotes an idea in arts and criticism that refers to society and modes of interaction following the widespread adoption of the internet. The term emerged from discussions about Internet Art by Marisa Olson, Gene McHugh, and Artie Vierkant, however the movement has not been thoroughly defined. Guthrie Lonergan and Cory Arcangel have mentioned it as a term for being “internet aware”, which some believe to be more accurate. Generally it is described as art that is about the internet’s effects on aesthetics, culture and society. Critics of the term claim that it falsely implies that there is a kind of art made after the internet has ceased to exist (and artists such as Rafael Rozendaal have criticized the ambiguity of “post-” in this instance).","Μεταδιαδίκτυο","","Is the internet dead? This is not a metaphorical question. It does not suggest that the internet is dysfunctional, useless or out of fashion. It asks what happened to the internet after it stopped being a possibility. The question is very literally whether it is dead, how it died and whether anyone killed it.","Hito Steyerl"
"Alternate_reality_game","An alternate reality game (ARG) is an interactive networked narrative that uses the real world as a platform and employs transmedia storytelling to deliver a story that may be altered by players’ ideas or actions. The form is defined by intense player involvement with a story that takes place in real time and evolves according to players’ responses. Subsequently, it is shaped by characters that are actively controlled by the game’s designers, as opposed to being controlled by artificial intelligence as in a computer or console video game. Players interact directly with characters in the game, solve plot-based challenges and puzzles, and collaborate as a community to analyze the story and coordinate real-life and online activities. ARGs generally use multimedia, such as telephones, email and mail but rely on the Internet as the central binding medium.","Παιχνίδι_εναλλακτικής_πραγματικότητας","","There is no transportation without tranformation","Bruno Latour"
"Hypermedia","Hypermedia, an extension of the term hypertext, is a nonlinear medium of information which includes graphics, audio, video, plain text and hyperlinks. This contrasts with the broader term multimedia, which may include non-interactive linear presentations as well as hypermedia. It is also related to the field of electronic literature. The term was first used in a 1965 article by Ted Nelson. The World Wide Web is a classic example of hypermedia, whereas a non-interactive cinema presentation is an example of standard multimedia due to the absence of hyperlinks. The first hypermedia work was, arguably, the Aspen Movie Map. Bill Atkinson’s HyperCard popularized hypermedia writing, while a variety of literary hypertext and hypertext works, fiction and nonfiction, demonstrated the promise of links. Most modern hypermedia is delivered via electronic pages from a variety of systems including media players, web browsers, and stand-alone applications (i. e., software that does not require network access). Audio hypermedia is emerging with voice command devices and voice browsing.","Υπερμέσο","Το υπερμέσο (Hypermedia) όρος που επινοήθηκε από τον Τεντ Νέλσον το 1970, αποτελεί φυσική επέκταση του όρου “υπερκείμενο”, στον οποίο ήχος, βίντεο, απλό και μη γραμμικό κείμενο (υπερσύνδεσμοι) συνυφαίνονται ώστε να δημιουργήσουν ένα μη γραμμικό μέσο πληροφοριών. Αυτά σε αντίθεση με τον όρο “πολυμέσο”, το οποίο, ενώ είναι συχνά ικανό για τυχαία προσπέλαση σε όρους φυσικού μέσου, είναι βασικά γραμμικό στη φύση του. Ο Παγκόσμιος Ιστός είναι κλασικό παράδειγμα υπερμέσου, ενώ μία ταινία σε ένα DVD είναι παράδειγμα πρότυπου πολυμέσου. Φυσικά, οι γραμμές μεταξύ των δύο μπορούν (όπως και συχνά συμβαίνει) να θολώνουν, αναλόγως με το πώς εφαρμόζεται μια συγκεκριμένη τεχνολογία. Τα σύγχρονα συστήματα υπερμέσων παρέχουν εργαλεία interface (διεπαφής) προς ευκολία του χρήστη, ώστε να μπορεί αυτός να διαβάζει το περιεχόμενο των κόμβων και να πλοηγείται μέσα στο δίκτυο , μέσα από επιλεγμένα μονοπάτια, που ακολουθεί με βάση το τί κεντρίζει το ενδιαφέρον του κατά την πλοήγησή του στους κόμβους. Το θέμα τηε πλοήγησης αποτελεί έναν σημαντικό προβληματισμό για τα συστήματα υπερμέσων.","Well, I coined a term called “Stationary Nomad”. We are nomads but we don’t move.","Nam Jun Paik & Lynn Hershman Leeson"
"Free_software_movement","The free software movement (FSM) or free / open source software movement (FOSSM) or free / libre open source software (FLOSS) is a social movement with the goal of obtaining and guaranteeing certain freedoms for software users, namely the freedom to run the software, to study and change the software, and to redistribute copies with or without changes. Although drawing on traditions and philosophies among members of the 1970s hacker culture and academia, Richard Stallmanformally founded the movement in 1983 by launching the GNU Project. Stallman later established the Free Software Foundationin 1985 to support the movement.","Κίνημα_Ελεύθερου_Λογισμικού","","“Free software” is a matter of liberty, not price. To understand the concept, you should think of “free” as in “free speech”, not as in “free beer”.","Free Software Foundaton"
